Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
1,How the Web Works,How the Internet Actually Works,Learn what really happens when you open a browser and type a URL,"You will be able to explain the full journey of a web request from your device to a server and back, and trace errors in that journey","Internet infrastructure, ISPs, DNS resolution, IP addresses, data packets",Build a diagram of a full web request and explain every step to someone else,2 hours,Foundation
2,How the Web Works,What a Web Browser Really Does,"Understand the engine behind Chrome, Firefox, and Edge — and why websites look different across them",You will understand how a browser parses and renders HTML CSS and JavaScript and why the same code can look different in different browsers,"Browser engine, rendering pipeline, DOM construction, layout and paint, JavaScript execution",Inspect a real website using browser dev tools and explain what the browser is doing at each stage,3 hours,Foundation
3,How the Web Works,HTML: The Skeleton of Every Website,Learn what HTML is how the browser reads it and how to write it from scratch,You will build a complete multi-page website using only HTML with headings paragraphs links images forms and tables,"HTML structure, tags and attributes, semantic HTML, forms, tables, links and images",Build a 5-page personal profile website with a contact form using only HTML,4 hours,Beginner
4,How the Web Works,CSS: Making Websites Beautiful From Zero,Understand how CSS talks to HTML and how to use it to style anything on a page,You will be able to style any HTML element change colours fonts sizes spacing layout and make a page look professional,"Selectors and properties, box model, colours and fonts, spacing, borders, display and positioning",Style your HTML personal website completely using CSS so it looks like a real product,5 hours,Beginner
5,How the Web Works,CSS Flexbox: Mastering Modern Layouts,Learn the Flexbox system that replaced floats and hacks for building responsive layouts,You will be able to create any horizontal or vertical layout arrangement using Flexbox without struggling with positioning,"Flex container and flex items, main axis vs cross axis, justify-content, align-items, flex-wrap, gap",Build a product card grid layout and a navigation bar using only Flexbox,4 hours,Beginner
6,How the Web Works,CSS Grid: Building Two-Dimensional Layouts,Learn Grid layout to build complex page structures that Flexbox cannot handle alone,You will be able to design full page layouts with rows and columns that adapt to any screen size,"Grid container and items, grid-template-columns and rows, grid areas, auto-fill and auto-fit, gap",Build a full magazine-style page layout with header sidebar main and footer using CSS Grid,4 hours,Beginner
7,How the Web Works,Responsive Web Design: Every Screen Every Size,Learn how to make any website look good on mobile tablet and desktop,You will be able to write CSS that automatically adapts to any screen size using media queries and relative units,"Viewport meta tag, media queries, rem and em units, responsive images, mobile-first design",Convert a desktop-only website into a fully responsive website that works on all screen sizes,5 hours,Beginner
8,How the Web Works,JavaScript Basics: Making Web Pages Think,Understand what JavaScript is how the browser runs it and how to write your first programs,You will be able to write JavaScript that manipulates a web page responds to user actions and performs calculations,"Variables and data types, operators, if statements, loops, functions, browser console",Build an interactive quiz app that asks questions checks answers and shows a score,6 hours,Beginner
9,How the Web Works,The DOM: How JavaScript Controls HTML,Learn how JavaScript reaches into a web page and changes it dynamically without reloading,You will be able to select any HTML element from JavaScript and change its content style or behaviour in real time,"Document object model, querySelector, innerHTML, style manipulation, event listeners, createElement",Build a live to-do list where tasks are added and removed from the page without refreshing,5 hours,Beginner
10,How the Web Works,HTML Forms: Collecting User Input,Learn how forms work in HTML how data is structured and how to handle what users type or select,You will be able to build any type of form including registration login search and surveys with proper validation,"Input types, labels, required fields, select dropdowns, checkboxes, radio buttons, form submission",Build a complete registration form for a student portal with client-side validation,4 hours,Beginner
11,How the Web Works,How Hosting Works: Getting Your Website Online,Understand what web hosting is how servers store your files and how a domain name connects to them,You will be able to purchase hosting upload a website via cPanel and connect a domain name so anyone in the world can visit your site,"Web servers, cPanel, file manager, FTP, domain name and DNS settings, A records",Deploy a real HTML CSS website to cPanel hosting with a custom domain,3 hours,Beginner
12,How the Web Works,HTTP and HTTPS: How Data Travels Safely,Understand the protocol that every website uses to send and receive data and why HTTPS matters,You will be able to explain every HTTP method read HTTP status codes and understand why SSL certificates make websites safe,"HTTP methods GET POST PUT DELETE, status codes 200 301 404 500, headers, HTTPS and SSL certificates",Use browser DevTools Network tab to inspect real HTTP requests on any website,3 hours,Foundation
13,How the Web Works,APIs Explained: How Apps Talk to Each Other,Understand what an API is how it works and why every modern application depends on them,You will be able to call any public API using JavaScript fetch a response and display the data on a web page,"What an API is, REST API concepts, endpoints and routes, JSON format, fetch() in JavaScript, API keys",Build a weather app that calls a real weather API and displays live temperature and conditions,5 hours,Beginner
14,How the Web Works,JSON: The Language of the Internet,Master JSON the data format that powers every API database and configuration file in modern software,You will be able to read write parse and create JSON data structures and use them in real projects,"JSON syntax, objects and arrays, nested data, JSON.parse and JSON.stringify, reading API responses",Parse a real API response in JSON and display specific data fields on a web page,3 hours,Beginner
15,How the Web Works,How Databases Talk to Websites,Understand the connection between a website a web server and a database and why all three are needed,You will be able to explain the full 3-tier architecture of a web application and trace data from database to screen,"Client server database architecture, what SQL is, how PHP or Node connects to MySQL, query flow",Diagram the full data flow of a login system from form submission to database and back,2 hours,Foundation
16,How the Web Works,Web Storage: Cookies Sessions and LocalStorage,Understand how websites remember you between visits and between pages,You will be able to use localStorage sessionStorage and cookies to store and retrieve data in any web application,"Cookies vs sessions vs localStorage, setting and reading values, expiry, security considerations",Build a shopping cart that remembers items after the browser closes using localStorage,4 hours,Beginner
17,How the Web Works,How Search Engines Find Your Website,Learn how Google and other search engines crawl index and rank websites,You will be able to write SEO-friendly HTML add meta tags create a sitemap and improve any website's search ranking,"Crawlers and indexing, meta title and description, semantic HTML, alt text, sitemap.xml, robots.txt",Optimise a real website for search engines and submit its sitemap to Google Search Console,3 hours,Beginner
18,How the Web Works,Bootstrap 5: Professional UI Without Custom CSS,Learn the world's most popular CSS framework and how it generates professional interfaces instantly,You will be able to build any page layout with Bootstrap 5 components without writing significant custom CSS,"Bootstrap grid system, components library, utility classes, responsive breakpoints, customisation",Build a complete business landing page with navbar hero cards and footer using Bootstrap 5,5 hours,Beginner
19,How the Web Works,How Web Security Works: Protecting Your Site,Understand the most common web attacks and how to prevent them in any web application,You will be able to identify and fix SQL injection XSS CSRF and insecure authentication vulnerabilities in web code,"SQL injection, Cross-Site Scripting XSS, CSRF tokens, password hashing, HTTPS enforcement, input validation",Audit a sample web application for security vulnerabilities and fix each one,4 hours,Intermediate
20,How the Web Works,Web Performance: Why Slow Websites Lose Money,Learn why websites are slow and how to make them fast using proven techniques,You will be able to measure a website's performance score and apply optimisations that improve load time by at least 50%,"PageSpeed score, image optimisation, minification, lazy loading, browser caching, CDNs",Optimise a slow sample website from a 40/100 score to above 85/100 on Google PageSpeed,4 hours,Intermediate
21,How the Web Works,Version Control With Git: Never Lose Your Work Again,Learn Git the tool every developer in the world uses to track code changes and collaborate,You will be able to initialise a Git repo make commits create branches merge code and push to GitHub,"Git init commit push pull branch merge, conflict resolution, .gitignore, GitHub",Version-control a real web project with meaningful commits and push it to a public GitHub repository,5 hours,Beginner
22,How the Web Works,GitHub: Showcasing Your Work to Employers,Learn how to use GitHub to host your code build a portfolio and collaborate with other developers,You will have a complete GitHub profile with at least 3 pinned repositories that demonstrate your skills to employers,"GitHub profile, README files, repository setup, GitHub Pages for free hosting, forking and pull requests",Build a professional GitHub profile and deploy a portfolio website for free using GitHub Pages,4 hours,Beginner
23,How the Web Works,Command Line: Controlling Your Computer Like a Developer,Learn to use the terminal the tool that gives you full control over any computer or server,You will be able to navigate files create directories run scripts and manage a server entirely from the command line,"File navigation, creating and deleting files, permissions, running scripts, SSH into a server",Complete 20 practical terminal tasks including connecting to a remote server via SSH,4 hours,Beginner
24,How the Web Works,How a Web Server Works: Apache and Nginx Explained,Understand what a web server software does how it serves files and how to configure it,You will be able to set up configure and troubleshoot an Apache or Nginx web server on any Linux machine,"Apache vs Nginx, virtual hosts, server blocks, serving static files, SSL certificate installation, .htaccess",Configure a virtual host on Apache that serves a website at a custom domain on a local machine,4 hours,Intermediate
25,How the Web Works,cPanel Mastery: Managing Websites Like a Pro,Learn every feature of cPanel the control panel used by most Nigerian web hosts,You will be able to manage files databases email accounts domains and SSL certificates for any website using cPanel,"File manager, MySQL database creation, phpMyAdmin, email setup, subdomain creation, SSL/TLS",Deploy a complete PHP website with its own database on a real cPanel hosting account,4 hours,Beginner
26,Programming Foundations,Python From Absolute Zero: Your First Real Language,Learn Python the world's most versatile language starting from the very first line of code,You will be able to write Python programs that accept input perform calculations make decisions and display results,"Installing Python, print and input, variables, data types, arithmetic, f-strings",Write a Python program that calculates a student's GPA from their scores and prints a result,4 hours,Beginner
27,Programming Foundations,Python Control Flow: Making Programs That Decide,Master if statements loops and logic in Python so your programs can handle any situation,You will be able to write Python programs that make complex decisions using conditions and repeat actions using loops,"if elif else, comparison operators, logical operators, while loops, for loops, break and continue",Build a number guessing game and a simple grade calculator using control flow,4 hours,Beginner
28,Programming Foundations,Python Functions: Writing Code You Can Reuse,Learn how to organise Python code into functions that do one job perfectly and can be used anywhere,You will be able to break any program into reusable functions with parameters return values and clear names,"Defining functions, parameters and arguments, return values, default arguments, scope, docstrings",Refactor a messy 100-line Python script into clean functions and document each one,4 hours,Beginner
29,Programming Foundations,Python Lists and Dictionaries: Organising Real Data,Master Python's most important data structures to store and manipulate collections of information,You will be able to use lists and dictionaries to store search sort filter and transform any collection of data,"Lists, indexing and slicing, list methods, dictionaries, key-value pairs, nested structures, iteration",Build a student record system that stores names scores and calculates class statistics using lists and dictionaries,5 hours,Beginner
30,Programming Foundations,Python File Handling: Reading and Writing Real Files,Learn how to make Python programs read write and process actual files on your computer,You will be able to open read write and process text files CSV files and JSON files from any Python script,"open() and close(), read and write modes, CSV module, JSON module, error handling with try-except",Build a Python script that reads a CSV of student marks and writes a report to a new file,4 hours,Beginner
31,Programming Foundations,Python OOP: Building Programs That Model the Real World,Understand Object-Oriented Programming in Python by building real things you can touch and understand,You will be able to design classes with attributes and methods create objects and understand inheritance with real examples,"Classes and objects, __init__ method, instance attributes, methods, inheritance, polymorphism",Build a School Management system using classes for Student Teacher and Subject,6 hours,Intermediate
32,Programming Foundations,Python Error Handling: Writing Code That Never Crashes,Learn how to catch and handle errors so your Python programs behave correctly in any situation,You will be able to write Python code that handles any error gracefully shows useful messages and never crashes unexpectedly,"try except finally, specific exception types, raising exceptions, logging errors, defensive programming",Add proper error handling to an existing Python project so it handles all bad inputs gracefully,3 hours,Intermediate
33,Programming Foundations,Python Modules and Packages: Using the World's Code,Learn how to use Python's massive library of built-in and external modules to solve problems faster,You will be able to install and use any Python package from PyPI and organise your own code into reusable modules,"import statement, built-in modules, pip install, virtual environments, creating your own module",Build a utility library module and use it across multiple Python scripts,4 hours,Intermediate
34,Programming Foundations,SQL From Zero: Talking to Databases,Learn SQL the language that every database in the world understands and that every developer must know,You will be able to create tables insert data query it sort it filter it and join multiple tables together,"CREATE TABLE, INSERT INTO, SELECT, WHERE, ORDER BY, GROUP BY, JOIN types",Build and query a student database with tables for students courses and enrolments,6 hours,Beginner
35,Programming Foundations,MySQL: Setting Up and Running a Real Database,Learn MySQL the most widely used database system in Nigerian web development,You will be able to install MySQL create databases manage users run queries and connect to it from code,"MySQL installation, MySQL Workbench, creating databases and tables, users and permissions, backup and restore",Set up a MySQL database server and populate it with real data using both the GUI and command line,4 hours,Beginner
36,Programming Foundations,PHP From Zero: Building Dynamic Websites,Learn PHP the server-side language that powers 78% of all websites including Facebook and WordPress,You will be able to write PHP scripts that process form data interact with a database and generate dynamic HTML pages,"PHP syntax, variables, control flow, functions, superglobals $_POST $_GET $_SESSION, include and require",Build a dynamic webpage that accepts form input stores it in a database and displays results,6 hours,Beginner
37,Programming Foundations,PHP and MySQL: Building Real Web Applications,Learn how PHP and MySQL work together to create fully functional data-driven web applications,You will be able to build a complete web application with user registration login a dashboard and data management,"MySQLi connection, prepared statements, CRUD operations, session management, password hashing",Build a complete student portal with registration login profile management and grade display,8 hours,Intermediate
38,Programming Foundations,JavaScript ES6+: Modern JavaScript Every Developer Uses,Learn the modern features of JavaScript introduced from ES6 onwards that are now standard in all projects,You will be able to write clean modern JavaScript using arrow functions template literals destructuring and async/await,"Arrow functions, template literals, destructuring, spread operator, modules, Promises, async/await, fetch API",Rewrite a legacy JavaScript application using ES6+ features and connect it to a live API,6 hours,Intermediate
39,Programming Foundations,JavaScript Async Programming: Handling Time in Code,Understand asynchronous programming the concept that trips up most developers and master it completely,You will be able to write JavaScript that handles time-based operations API calls and events without blocking the browser,"Synchronous vs asynchronous, callbacks, Promises, .then() and .catch(), async/await, Promise.all",Build a dashboard that fetches data from 3 different APIs simultaneously and displays them,5 hours,Intermediate
40,Programming Foundations,Node.js: JavaScript Beyond the Browser,Learn Node.js to run JavaScript on a server and build backend applications and APIs,You will be able to build a functioning Node.js server that handles HTTP requests connects to a database and responds with data,"Node.js runtime, npm, require and modules, http module, Express.js, file system, environment variables",Build a REST API with Node.js and Express that performs CRUD operations on a database,7 hours,Intermediate
41,Programming Foundations,Express.js: Building APIs That Power Apps,Master Express.js the most popular Node.js framework for building fast and organised web APIs,You will be able to design and build a complete REST API with authentication routing and database integration,"Routes and controllers, middleware, request and response objects, body-parser, CORS, JWT authentication",Build a full REST API for a blog platform with user auth post creation and comments,8 hours,Intermediate
42,Programming Foundations,React.js: Building Modern User Interfaces,Learn React the JavaScript library used by Facebook Instagram and thousands of companies worldwide,You will be able to build dynamic single-page applications using components state and props in React,"JSX, components, props, state with useState, useEffect, conditional rendering, lists, event handling",Build a fully functional task management app with add edit delete and filter features in React,8 hours,Intermediate
43,Programming Foundations,Databases Deep Dive: Relational vs Non-Relational,Understand the two main types of databases and when to use each one in a real project,You will be able to choose the right database type for any project design its structure and justify your decision,"SQL vs NoSQL, relational model, tables and relationships, document model, key-value stores, when to use what",Design the database architecture for 5 different types of applications and justify each choice,3 hours,Foundation
44,Programming Foundations,Database Design: Building Schemas That Scale,Learn how to design a database that does not break as your application grows,You will be able to design a normalised database schema for any real-world system with proper relationships and indexes,"Entity-relationship diagrams, primary and foreign keys, normalisation 1NF 2NF 3NF, indexes, cardinality",Design the complete database schema for a hospital management system with ER diagram,5 hours,Intermediate
45,Programming Foundations,C Programming: Understanding How Computers Think,Learn C the language that teaches you how computers really work at the lowest level above assembly,You will be able to write C programs that manipulate memory use pointers and understand why other languages behave the way they do,"Variables and types, pointers, arrays, functions, structs, memory allocation, file I/O",Write a C program that manages student records using structs and reads and writes to a binary file,8 hours,Intermediate
46,Programming Foundations,Data Structures Explained With Real Examples,Learn arrays linked lists stacks queues and trees by building each one from scratch in Python,You will be able to explain and implement the 7 core data structures and choose the right one for any problem,"Arrays and dynamic arrays, linked lists, stacks, queues, hash tables, trees, graphs",Implement all 7 data structures from scratch in Python and benchmark their performance,10 hours,Intermediate
47,Programming Foundations,Algorithms: Solving Problems Like a Computer Scientist,Learn the algorithms that power search sorting and decision-making in every real application,You will be able to implement binary search merge sort quick sort and graph traversal and explain the time complexity of each,"Linear and binary search, bubble sort, merge sort, quick sort, Big O notation, recursion",Implement 10 algorithms from scratch and test them against 10000-item datasets,8 hours,Intermediate
48,Programming Foundations,Regular Expressions: Finding Patterns in Any Text,Learn Regex the universal pattern-matching language built into every major programming language,You will be able to write regular expressions to validate emails phone numbers Nigerian NINs and extract any data pattern from text,"Regex syntax, character classes, quantifiers, anchors, groups, lookahead, Python re module",Build a Nigerian form validator that checks NIN BVN phone numbers and email addresses using Regex,4 hours,Intermediate
49,Programming Foundations,Environment Setup: Building a Professional Developer Workstation,Learn how to set up a complete professional development environment on Windows or Linux,You will have a fully configured development machine with VS Code terminal Git Python Node.js and database tools installed and working,"VS Code setup and extensions, Git configuration, Node.js and npm, Python and pip, MySQL, WSL on Windows",Set up a complete development environment from a fresh computer install and run a full-stack project,3 hours,Beginner
50,Programming Foundations,Debugging: Finding and Fixing Any Bug,Learn systematic debugging techniques so you can find the cause of any error in any language,You will be able to debug any Python JavaScript or PHP program methodically using print statements debuggers and error messages,"Reading error messages, print debugging, browser DevTools debugger, Python pdb, rubber duck debugging",Debug 10 deliberately broken programs across Python JavaScript and PHP,4 hours,Beginner
51,Programming Foundations,Clean Code: Writing Code That People Can Read,Learn the principles of clean code that separate professional developers from beginners,You will be able to refactor any messy codebase into clean readable maintainable code using naming conventions and structure,"Meaningful variable names, function size, DRY principle, SOLID principles, commenting code, refactoring",Take a 200-line messy Python script and refactor it into clean well-named readable code,4 hours,Intermediate
52,Programming Foundations,TypeScript: JavaScript With Superpowers,Learn TypeScript the typed version of JavaScript that every serious frontend team now requires,You will be able to write TypeScript code with proper types interfaces and enums and convert a JavaScript project to TypeScript,"Types and type annotations, interfaces, generics, enums, tsconfig, TypeScript in React",Convert an existing JavaScript Express API to TypeScript with full type safety,6 hours,Intermediate
53,Programming Foundations,Python Automation: Making Your Computer Do Your Work,Learn how to use Python to automate repetitive computer tasks that waste hours of your time,You will be able to automate file management Excel manipulation web scraping email sending and form filling using Python,"os and shutil modules, openpyxl for Excel, requests and BeautifulSoup, smtplib, selenium",Build 5 real automation scripts that together save at least 3 hours of manual work per week,6 hours,Intermediate
